Breed,Age,Preferred Foods,Weight
Rottweiler,3.2,"Rice and meat scraps, boiled lentils",27
Labrador,3.2,"Salmon, sweet potatoes, blueberries",42
 Dachshund,1,"Lamb stew with rice, cooked pumpkin",9
German Shepherd ,4,"cooked green beans,cooked chicken breast, green beans, apples.",17
Labrador,4,"Chicken stew with rice, steamed broccoli",40
Stray dog,10,"Rice and meat scraps, boiled lentils",14
Bulldog,3.5,"Turkey, carrots, mangoes",38
German Shepherd ,5,"fish curry with rice, cooked carrots, mango",32
French Bulldog,3,"Lamb stew with rice, cooked pumpkin",40
Husky,1.5,"Lamb and carrot stew with rice, cooked green beans, milk rice",27
Poodle,3,"Salmon, sweet potatoes, blueberries",7
Pug,1,"Turkey, carrots, mangoes",6
Shih Tzu,3.5,"cooked green beans, carrots, boiled potatoes with rice",3
Labrador Retriever,2,"Chicken, rice, carrots, peas",25
Poodle,8,"Lamb, brown rice, sweet potatoes, green beans",10
German Shepherd,1,"Beef, brown rice, carrots, broccoli",35
Terrier,3,"Chicken, oats, green beans, apples",3
Bulldog,3,"Salmon, sweet potatoes, blueberries",25
Beagle,7,"Chicken, brown rice, carrots",15
Husky,4,"Fish, sweet potatoes",20
Pug,2,"Duck, brown rice, carrots",8
Dachshund,8,"Turkey, green beans",5
Golden Retriever,0.5,"Chicken, oats, sweet potatoes",10
Shih Tzu,1,"Lamb, brown rice, spinach, blueberries",5
Great Dane,3,"Chicken, oats, broccoli, apples",50
Corgi,2,"Turkey, carrots, mangoes",15
French Bulldog,4,"brown rice, spinach",12
Pomeranian,7,chicken with rice,3
Rottweiler,2,"Lamb,mangoes",40
Boxer,2,"ground turkey, brown rice, mangoes, carrots.",17
Rottweiler,5,"chicken, beef, and fish, brown rice, mixed vegetables ",45
German Shepherd,8,"chicken breast, sweet potatoes, green beans, apples.",37
Labrador,2,"duck breast, brown rice, carrots, green beans.",42
Rottweiler,6,"fish, sweet potatoes, blueberries, carrots.",32
Bulldog,5.5,"oats, boiled chicken, steamed broccoli, diced apples.",38
Stray dog,2,"fish, sweet potatoes, blueberries, carrots.",19
Rottweiler,5,"ground turkey, brown rice, mangoes, carrots.",43
Labrador,4.5,"chicken breast, sweet potatoes, green beans, apples.",36
Dachshund,1.5,"lamb, brown rice, spinach, blueberries.",27
Dachshund,2.5,"fish, sweet potatoes, blueberries, carrots.",32
German Shepherd,1.5,"ground turkey, brown rice, mangoes, carrots.",21
Labrador,3,"chicken thigh, pumpkin, grated carrots, chopped green beans.",35
Stray dog,13,"chicken breast, sweet potatoes, green beans, apples.",18
Bulldog,2.5,"ground turkey, brown rice, mangoes, carrots.",23
Shih Tzu,2,"chicken, beef, and fish, brown rice, mixed vegetables ",3
Husky,6,"lamb, brown rice, spinach, blueberries.",20
Bulldog,2,"fish, sweet potatoes, blueberries, carrots.",20
German Shepherd,7.5,"oats, boiled chicken, steamed broccoli, diced apples.",26
Golden Retriever,5,"ground turkey, brown rice, mangoes, carrots.",16
Shih Tzu,3,"duck breast, brown rice, carrots, green beans.",2
Husky,1,"lamb, brown rice, spinach, blueberries.",21
German Shepherd,3," fish, sweet potatoes, blueberries, carrots.",23
Dachshund,5,"ground beef, sweet potatoes, green beans, blueberries.",29
Bulldog,5,"lamb, brown rice, spinach, blueberries.",22
Husky,1,"ground turkey, brown rice, mangoes, carrots.",21.5
German Shepherd,2.5,"chicken breast, brown rice, carrots, peas.",29
Great Dane,3,"fish (salmon or tilapia), pumpkin, carrots, broccoli.",34
Golden Retrieve,5,"chicken thigh, pumpkin, grated carrots, chopped green beans.",23
Shih Tzu,3.5,"lamb, brown rice, spinach, blueberries.",2.5
Dachshund,4,"ground turkey, spinach, brown rice, carrots.",34
Shih Tzu,3,"oats, boiled chicken, steamed broccoli, diced apples.",4
Golden Retriever,3,"chicken thigh, pumpkin, grated carrots, chopped green beans.",16
German Shepherd,5,"ground turkey, spinach, brown rice, carrots.",26
Great Dane,6,"chicken thigh, pumpkin, grated carrots, chopped green beans.",27
Poodle,2.5,"chicken breast, brown rice, carrots, peas.",5
Dachshund,1,"duck breast, brown rice, carrots, green beans.",29
German Shepherd,5,"ground beef, sweet potatoes, green beans, blueberries.",32
Great Dane,1.5,"oats, boiled chicken, steamed broccoli, diced apples.",31
Bulldog,2.5,"ground turkey, spinach, brown rice, carrots.",40
Golden Retriever,6,"oats, boiled chicken, steamed broccoli, diced apples.",29
Great Dane,4,"fish (salmon or tilapia), pumpkin, carrots, broccoli.",30
German Shepherd,1,"duck breast, brown rice, carrots, green beans.",40
Bulldog,4,"chicken breast, brown rice, carrots, peas.",25
Shih Tzu,2,"chicken thigh, pumpkin, grated carrots, chopped green beans.",4
Golden Retriever,3.5,"fish (salmon or tilapia), pumpkin, carrots, broccoli.",24
Husky,1,"chicken, beef, and fish, brown rice, mixed vegetables ",28
Dachshund,4,"ground beef, sweet potatoes, green beans, blueberries.",29
Bulldog,6,"chicken, beef, and fish, brown rice, mixed vegetables ",21
German Shepherd,5.5,"ground turkey, spinach, brown rice, carrots.",30
Poodle,3.5,"oats, boiled chicken, steamed broccoli, diced apples.",7
Golden Retriever,1.5,"ground beef, sweet potatoes, green beans, blueberries.",31
Husky,4,"chicken, beef, and fish, brown rice, mixed vegetables ",34
Golden Retriever,1,"chicken, beef, and fish, brown rice, mixed vegetables ",12
German Shepherd,6,"fish (salmon or tilapia), pumpkin, carrots, broccoli.",42
Poodle,4,"chicken thigh, pumpkin, grated carrots, chopped green beans.",6
Dachshund,3.5,"ground beef, sweet potatoes, green beans, blueberries.",27
Bulldog,1,"chicken, beef, and fish, brown rice, mixed vegetables",24
German Shepherd,4.5,"chicken breast, brown rice, carrots, peas.",34
Bulldog,4,"oats, boiled chicken, steamed broccoli, diced apples.",28
Golden Retriever,3.5,"chicken, beef, and fish, brown rice, mixed vegetables ",21
Great Dane,4,"ground beef, sweet potatoes, green beans, blueberries.",35
Husky,2.5,"ground turkey, spinach, brown rice, carrots.",18
Bulldog,4,"ground turkey, spinach, brown rice, carrots.",22.5
Shih Tzu,3.5,"thigh, pumpkin, grated carrots, chopped green beans.",4
German Shepherd,6,"breast, brown rice, carrots, peas.",34
Golden Retriever,6,"chicken, beef, and fish, brown rice, mixed vegetables ",31
Bulldog,3.5,"ground turkey, spinach, brown rice, carrots.",26
Poodle,1.5,"ground beef, sweet potatoes, green beans, blueberries.",9
Dachshund,4,"chicken thigh, pumpkin, grated carrots, chopped green beans.",37
Shih Tzu,2,"chicken breast, brown rice, carrots, peas.",6
Bulldog,3.5,"chicken, beef, and fish, brown rice, mixed vegetables ",26
German Shepherd,2.5,"oats, boiled chicken, steamed broccoli, diced apples.",32
Siberian Husky,2,"Salmon,Rice,Carrot",20
Maltese,7,"Fish,Rice,Pumpkin",5
Shiba inu,4,"Chicken,Sweet Potatoes,Green beans",10
Labrador,5,"Chicken Rice,carrots",30
Golden Retriever,3,"Turkey,Sweet potatoes,peas",28
German Shepard,4,"Beef, Potato,Brocolli",35
Pomenarian,2,"Fish,Rice,Green peas",4
Beagle,6,"Lamb,Potatoes,carrots",12
Pug,3,"Chicken,Rice,Green Peas",8
Chihuahua,2,"Beef,Potato,peas",2
Poddle,8,"brown rice, sweet potatoes, green beans",
Golden Retriever,3,"Tuna , potato with rice, boiled eggs",29
Rottweiler,2.5,"Lamb, pumpkin curry with rice, cooked peas, fish",34
German Shepherd,1,"Beef, brown rice, carrots",35
Cocker Spaniel,4,"Chicken, sweet potatoes, steamed carrots",11
German Shepherd,6,"beef, chicken soup, boiled eggs",41
 Labrador,4,"Salmon and brown rice with boiled eggs, banana, mango",33
Labrador Retriever,6,"Tuna, chicken, potatoes, boiled eggs",36
Shih Tzu,3,"Chicken, rice porridge, boiled carrots, cooked green beans, banana",7.5
Stray Dog,8,"dried fish with rice, chicken parts, papaw",15
Bulldog,4,"Beef and barley soup with carrots, mashed pumpkin",26
Bulldog,3,"Salmon, sweet potatoes",25
Beagle              ,3.5,"Chicken, brown rice, carrots",15
Husky,4,"Fish, sweet potatoes",20
Pug,2,"Duck, brown rice, carrots",8
Dachshund,8,"Turkey,chicken with rice,sweets,milk",15
Golden Retriever,0.5,"Chicken, oats, sweet potatoes",10
Shih Tzu,1,"brown rice, spinach, blueberries",5
Corgi,2,"Turkey, carrots, mangoes",15
Pomeranian,7,chicken with rice and salmon and carrot,12
Rottweiler,2,"chicken, beef, and fish, brown rice, mixed vegetables ",40
Labrador,2,"Chicken, Rice, Carrots",25
Labrador,2,"Beef, Potatoes, Broccoli",30
Labrador,2,"Fish, Pasta, Peas",35
Labrador,2,"Turkey, Barley, Spinach",40
Labrador,2,"Duck, Sweet Potato, Green Beans",45
Golden Retriever,3,"Chicken, Rice, Carrots",25
Golden Retriever,3,"Beef, Potatoes, Broccoli",30
Golden Retriever,3,"Fish, Pasta, Peas",35
Golden Retriever,3,"Turkey, Barley, Spinach",40
Golden Retriever,3,"Duck, Sweet Potato, Green Beans",45
German Shepherd,1,"Chicken, Rice, Carrots",25
German Shepherd,1,"Beef, Potatoes, Broccoli",30
German Shepherd,1,"Fish, Pasta, Peas",35
German Shepherd,1,"Turkey, Barley, Spinach",40
German Shepherd,1,"Duck, Sweet Potato, Green Beans",45
Rottweiler,4,"Chicken, Rice, Carrots",25
Rottweiler,4,"Beef, Potatoes, Broccoli",30
Rottweiler,4,"Fish, Pasta, Peas",35
Rottweiler,4,"Turkey, Barley, Spinach",40
Rottweiler,4,"Duck, Sweet Potato, Green Beans",45
Labrador,2,"Chicken, Rice, Carrots",25
Labrador,3,"Salmon, Sweet Potato, Green Beans",35
Golden Retriever,4,"Beef, Brown Rice, Broccoli",30
German Shepherd,1,"Turkey, Quinoa, Spinach",40
German Shepherd,5,"Tuna, Barley, Bok Choy",50
Rottweiler,2,"Pork, Oats, Asparagus",45
Siberian Husky,3,"Venison, Couscous, Carrots",35
Boxer,4,"Bison, Millet, Green Beans",40
Doberman,1,"Duck, Bulgur, Peas",55
Great Dane,2,"Lamb, Potatoes, Beets",75
Bullmastiff,5,"Goat, Sweet Potato, Bell Peppers",65
French Bulldog,3,"Chicken, Rice, Zucchini",22
Pug,6,"Salmon, Oats, Squash",18
Poodle,4,"Beef, Quinoa, Spinach",12
Chihuahua,2,"Turkey, Couscous, Broccoli",5
Dachshund,5,"Pollock, Brown Rice, Carrots",10
Cocker Spaniel,3,"Pork, Barley, Bell Peppers",14
Beagle,1,"Bison, Millet, Green Beans",20
Shih Tzu,6,"Venison, Bulgur, Bok Choy",8
Pomeranian,5,"Goat, Potatoes, Cauliflower",7
Dalmatian,2,"Duck, Sweet Potato, Asparagus",40
Chow Chow,3,"Lamb, Kamut, Brussels Sprouts",35
Akita,4,"Pork, Freekeh, Beets",55
Basenji,1,"Chicken, Rice, Zucchini",22
Samoyed,5,"Salmon, Barley, Eggplant",40
Schnauzer,2,"Beef, Farro, Celery",15
Pit Bull,3,"Turkey, Buckwheat, Carrots",45
Border Collie,4,"Pollock, Quinoa, Bell Peppers",32
Australian Shepherd,5,"Bison, Wheat Berries, Green Beans",40
Boston Terrier,6,"Venison, Millet, Broccoli",25
Greyhound,1,"Goat, Spelt, Cabbage",60
Maltese,3,"Duck, Amaranth, Peas",10
Shar Pei,4,"Lamb, Teff, Brussels Sprouts",55
St. Bernard,5,"Pork, Kamut, Beets",90
Labrador,2,"Chicken, Rice, Carrots",25
Labrador,2,"Chicken, Rice, Carrots",25
Labrador,3,"Salmon, Sweet Potato, Green Beans",35
Golden Retriever,4,"Beef, Brown Rice, Broccoli",30
German Shepherd,1,"Turkey, Quinoa, Spinach",40
German Shepherd,5,"Tuna, Barley, Bok Choy",50
Rottweiler,2,"Pork, Oats, Asparagus",45
Siberian Husky,3,"Venison, Couscous, Carrots",35
Boxer,4,"Bison, Millet, Green Beans",40
Doberman,1,"Duck, Bulgur, Peas",55
Great Dane,2,"Lamb, Potatoes, Beets",75
Bullmastiff,5,"Goat, Sweet Potato, Bell Peppers",65
French Bulldog,3,"Chicken, Rice, Zucchini",22
Pug,6,"Salmon, Oats, Squash",18
Poodle,4,"Beef, Quinoa, Spinach",12
Chihuahua,2,"Turkey, Couscous, Broccoli",5
Dachshund,5,"Pollock, Brown Rice, Carrots",10
Cocker Spaniel,3,"Pork, Barley, Bell Peppers",14
Beagle,1,"Bison, Millet, Green Beans",20
Shih Tzu,6,"Venison, Bulgur, Bok Choy",8
Pomeranian,5,"Goat, Potatoes, Cauliflower",7
Dalmatian,2,"Duck, Sweet Potato, Asparagus",40
Chow Chow,3,"Lamb, Kamut, Brussels Sprouts",35
Akita,4,"Pork, Freekeh, Beets",55
Basenji,1,"Chicken, Rice, Zucchini",22
Samoyed,5,"Salmon, Barley, Eggplant",40
Schnauzer,2,"Beef, Farro, Celery",15
Pit Bull,3,"Turkey, Buckwheat, Carrots",45
Border Collie,4,"Pollock, Quinoa, Bell Peppers",32
Australian Shepherd,5,"Bison, Wheat Berries, Green Beans",40
Boston Terrier,6,"Venison, Millet, Broccoli",25
Greyhound,1,"Goat, Spelt, Cabbage",60
Maltese,3,"Duck, Amaranth, Peas",10
Shar Pei,4,"Lamb, Teff, Brussels Sprouts",55
St. Bernard,5,"Pork, Kamut, Beets",90
Pembroke Welsh Corgi,4,"Chicken, Brown Rice, Spinach",30
Siberian Husky,5,"Haddock, Sweet Potato, Green Beans",40
Great Dane,2,"Pork, Couscous, Zucchini",80
Yorkshire Terrier,6,"Rabbit, Bulgur, Bell Peppers",7
English Bulldog,3,"Lamb, Buckwheat, Cabbage",40
Miniature Schnauzer,4,"Turkey, Teff, Carrots",18
Australian Cattle Dog,5,"Duck, Farro, Bok Choy",35
Cane Corso,1,"Salmon, Freekeh, Peas",70
Cavalier King Charles Spaniel,3,"Bison, Amaranth, Beets",25
Basset Hound  ,4,"Goat, Kamut, Broccoli",55
English Cocker Spaniel,5,"Beef, Millet, Celery",28
Belgian Malinois,6,"Chicken, Quinoa, Brussels Sprouts",40
Collie,1,"Pollock, Spelt, Asparagus",42
English Springer Spaniel,2,"Venison, Wheat Berries, Eggplant",45
Catahoula Leopard Dog,3,"Pork, Barley, Green Beans",55
Bernese Mountain Dog,4,"Turkey, Potatoes, Bell Peppers",90
Bloodhound,5,"Salmon, Oats, Carrots",80
Jack Russell Terrier,6,"Goat, Bulgur, Cauliflower",15
American Bulldog,1,"Lamb, Couscous, Beets ",60
Treeing Walker Coonhound,3,"Duck, Brown Rice, Zucchini",50
Carolina Dog,4,"Bison, Rice, Squash",30
Whippet,5,"Chicken, Farro, Spinach",35
Staffordshire Bull Terrier,2,"Pollock, Wheat Berries, Broccoli",40
Rhodesian Ridgeback,3,"Beef, Barley, Celery",50
Labradoodle,4,"Turkey, Kamut, Brussels Sprouts",45
Rottweiler,5,"Pork, Teff, Asparagus",55
Anatolian Shepherd Dog,6,"Venison, Buckwheat, Eggplant ",75
Airedale Terrier,1,"Salmon, Amaranth, Green Beans",50
Irish Wolfhound,2,"Goat, Quinoa, Cabbage",110
Saint Bernard,3,"Lamb, Bulgur, Carrots",120
Standard Schnauzer,4,"Duck, Millet, Bell Peppers",35
Labrador Retriever,2,"Chicken, Brown Rice, Carrots",25
German Shepherd,5,"Salmon, Quinoa, Spinach  ",42
Siberian Husky,3,"Lamb, Sweet Potatoes, Peas",32
Golden Retriever,4,"Turkey, Barley, Broccoli",29
Rottweiler,1,"Tuna, Bulgur, Bok Choy",39
Doberman,6,"Beef, Millet, Asparagus",48
Pit Bull,2,"Pork, Kamut, Bell Peppers",40
Boxer,5,"Duck, Oats, Green Beans",35
Great Dane,3,"Chicken, Couscous, Beets",63
Pug,4,"Pollock, Amaranth, Cabbage",16
Shih Tzu,1,"Bison, Teff, Celery",7
Poodle,5,"Goat, Buckwheat, Carrots  ",11
Boston Terrier,6,"Venison, Potatoes, Eggplant",21
French Bulldog,2,"Turkey, Wheat Berries, Peas",18
Pembroke Welsh Corgi,3,"Beef, Spelt, Zucchini",27
Cavalier King Charles Spaniel,4,"Pork, Farro, Squash",19
Yorkshire Terrier,5,"Salmon, Freekeh, Spinach",5
Maltese,1,"Lamb, Brown Rice, Broccoli",8
English Bulldog,6,"Chicken, Barley, Brussels Sprouts",36
Dachshund,2,"Duck, Quinoa, Asparagus",12
Cocker Spaniel,3,"Pollock, Bulgur, Green Beans",18
Beagle,4,"Bison, Millet, Bell Peppers",22
Basset Hound,5,"Venison, Kamut, Cauliflower",48
Miniature Schnauzer,1,"Goat, Couscous, Celery",15
Australian Shepherd,6,"Turkey, Teff, Beets",38
Border Collie,2,"Beef, Buckwheat, Carrots",29
Greyhound,3,"Chicken, Amaranth, Eggplant",54
Dalmatian,4,"Salmon, Rice, Peas",37
Chow Chow,5,"Lamb, Oats, Zucchini",32
Samoyed,1,"Pork, Wheat Berries, Squash",35
American Staffordshire Terrier,6,"Duck, Barley, Spinach",36
Catahoula Leopard Dog,2,"Pollock, Quinoa, Broccoli  ",48
Treeing Walker Coonhound,3,"Bison, Spelt, Brussels Sprouts",45
Carolina Dog,4,"Venison, Freekeh, Asparagus",25
Whippet,5,"Goat, Bulgur, Green Beans",30
Staffordshire Bull Terrier,1,"Turkey, Potatoes, Bell Peppers",35
Rhodesian Ridgeback,6,"Salmon, Millet, Cauliflower",44
